user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_difficulty_correct,avg_difficulty_incorrect
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,recursion,completed,1.0,1769792347.3015938,1769792695.8482106,348.5466070175171,19.0,9.0,10.0,5.0,5.0,100.0,1769792639.26354,1769792695.7269452,2.2,0.0
X8nQivwspCSJr5An9iq1trCe7KR2,arraylist,completed,2.0,1769190876.5760133,1769191460.3660452,583.7900195121765,26.0,13.0,13.0,4.0,5.0,80.0,1769191395.9359765,1769191460.2305443,2.25,3.0
X8nQivwspCSJr5An9iq1trCe7KR2,recursion,completed,2.0,1769795674.7129495,1769796117.328512,442.61555457115173,21.0,10.0,11.0,5.0,5.0,100.0,1769796081.7742639,1769796117.1817796,2.2,0.0
Yxs6ep3KjPYkHdAqKahkafkUHZs1,arraylist,completed,1.0,1769115578.977061,1769116596.9524317,1017.9753589630127,27.0,13.0,14.0,5.0,5.0,100.0,1769116548.4442217,1769116596.8076167,2.4,0.0
Yxs6ep3KjPYkHdAqKahkafkUHZs1,recursion,not_started,,,,,,,,,,,,,,
ZlvLCVTICFR8tBlGbCIGv5752Lf2,arraylist,completed,2.0,1769176037.4551299,1769176282.8658183,245.4106776714325,15.0,7.0,8.0,5.0,5.0,100.0,1769176258.9823074,1769176282.7309315,2.4,0.0
ZlvLCVTICFR8tBlGbCIGv5752Lf2,recursion,in_progress,2.0,1769553958.832148,,,,,,5.0,5.0,100.0,1769293791.012606,,2.2,0.0
c2MXSYceS4XYMEnn3MAwQcQlbak1,arraylist,completed,3.0,1769187381.768291,1769188419.603442,1037.8351402282715,39.0,19.0,20.0,4.0,5.0,80.0,1769188365.5801196,1769188419.46908,2.0,4.0
c2MXSYceS4XYMEnn3MAwQcQlbak1,recursion,completed,3.0,1769792322.6812747,1769793313.840221,991.1589357852936,25.0,12.0,13.0,4.0,5.0,80.0,1769793274.8614116,1769793312.6268525,2.25,2.0
c7KI5GHsSEdjcEm00XjghgtERo73,arraylist,completed,2.0,1769194645.8454664,1769195138.231636,492.3861632347107,15.0,7.0,8.0,3.0,5.0,60.0,1769195065.330779,1769195138.0987651,2.33,2.5
c7KI5GHsSEdjcEm00XjghgtERo73,recursion,completed,2.0,1769799507.4089766,1769800072.332075,564.9230890274048,27.0,13.0,14.0,4.0,5.0,80.0,1769800009.0763245,1769800072.1941326,2.25,2.0
cva8aUm1erWRXr4LN8puvAxR9pH3,arraylist,completed,2.0,1769187116.2304509,1769187454.337101,338.1066405773163,15.0,7.0,8.0,4.0,5.0,80.0,1769187402.6642911,1769187454.2130795,2.25,3.0
cva8aUm1erWRXr4LN8puvAxR9pH3,recursion,not_started,,,,,,,,,,,,,,
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,arraylist,completed,3.0,1769194681.96473,1769195888.3908074,1206.4260692596436,19.0,9.0,10.0,1.0,5.0,20.0,1769195674.080594,1769195888.2481813,4.0,2.0
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,recursion,completed,3.0,1769799516.5967207,1769800567.359205,1050.7624723911285,37.0,18.0,19.0,2.0,5.0,40.0,1769800474.2981677,1769800567.005087,3.0,1.67
egcU78rw2gZi7PmwpQhSsYvv7Xe2,arraylist,not_started,,,,,,,,,,,,,,
egcU78rw2gZi7PmwpQhSsYvv7Xe2,recursion,not_started,,,,,,,,,,,,,,
fxKWPTaDCGXI2dz7mbLsAqHU0CU2,arraylist,completed,1.0,1769194808.0530884,1769195320.6812341,512.6281352043152,17.0,8.0,9.0,3.0,5.0,60.0,1769195258.8010938,1769195320.5292363,2.33,2.5
fxKWPTaDCGXI2dz7mbLsAqHU0CU2,recursion,not_started,,,,,,,,,,,,,,
gBOUb9Di6GadfkDvQLnrX73otG03,arraylist,completed,2.0,1769194675.1718447,1769195323.91526,648.7434079647064,16.0,8.0,8.0,4.0,5.0,80.0,1769195255.3324249,1769195323.7770576,2.5,2.0
gBOUb9Di6GadfkDvQLnrX73otG03,recursion,completed,2.0,1769799490.358428,1769800249.4708533,759.1124167442322,21.0,10.0,11.0,3.0,5.0,60.0,1769800170.229461,1769800249.348673,1.67,3.0
hC4w6MdexjQl2Ph4EouutrCFRoG3,arraylist,completed,3.0,1769187446.2420638,1769188488.4664953,1042.2244198322296,19.0,9.0,10.0,3.0,5.0,60.0,1769188423.410436,1769188488.308063,2.33,2.5
hC4w6MdexjQl2Ph4EouutrCFRoG3,recursion,completed,3.0,1769792355.0016236,1769793390.2019434,1035.2003109455109,19.0,9.0,10.0,4.0,5.0,80.0,1769793351.7718048,1769793390.0785158,2.25,2.0
ho7VWbC1MxT1kafPK2XvjodzKik2,arraylist,completed,2.0,1769194628.9775343,1769195106.788058,477.81051659584045,17.0,8.0,9.0,3.0,5.0,60.0,1769195030.3139668,1769195106.6513698,2.33,2.5
ho7VWbC1MxT1kafPK2XvjodzKik2,recursion,completed,2.0,1769799488.3783896,1769800015.0350006,526.6566004753113,29.0,14.0,15.0,5.0,5.0,100.0,1769799993.5421247,1769800014.8975062,2.2,0.0
jjrhR6j2KBM2ljWc6hI8G5TtoCD2,arraylist,completed,2.0,1769795775.6844687,1769796359.645642,583.9611632823944,25.0,12.0,13.0,3.0,5.0,60.0,1769796308.8068807,1769796359.507024,2.33,2.5
jjrhR6j2KBM2ljWc6hI8G5TtoCD2,recursion,completed,2.0,1769796364.0112972,1769796495.6001801,131.58887815475464,1.0,0.0,1.0,5.0,5.0,100.0,1769796433.849234,1769796495.472009,2.2,0.0
jnHhdJjyzSg7NGN35wTPo7uBnfo2,arraylist,completed,1.0,1769194636.8966277,1769195346.6741767,709.777539730072,29.0,14.0,15.0,2.0,5.0,40.0,1769195307.473869,1769195346.5325375,2.5,2.33
jnHhdJjyzSg7NGN35wTPo7uBnfo2,recursion,completed,1.0,1769799592.096805,1769800298.4623175,706.3654944896698,37.0,18.0,19.0,5.0,5.0,100.0,1769800231.2156768,1769800298.3247435,2.2,0.0
jxesNDSnbaaXFNl6W1gtPmRpnsl1,arraylist,completed,2.0,1769187144.5435038,1769187700.0768902,555.5333769321442,17.0,8.0,9.0,3.0,5.0,60.0,1769187582.8229642,1769187699.9347174,2.33,2.5
jxesNDSnbaaXFNl6W1gtPmRpnsl1,recursion,completed,2.0,1769792338.9429655,1769792919.2744496,580.3314712047577,34.0,17.0,17.0,5.0,5.0,100.0,1769792805.5565295,1769792919.1483076,2.2,0.0
mIXe2bIDutdkPH2CxfTEW3X8IuS2,arraylist,completed,2.0,1769195409.049668,1769195854.0141323,444.9644527435303,23.0,11.0,12.0,4.0,5.0,80.0,1769195798.9908404,1769195853.877599,2.5,2.0
mIXe2bIDutdkPH2CxfTEW3X8IuS2,recursion,completed,2.0,1769799484.7112494,1769800292.1578758,807.4466142654419,27.0,13.0,14.0,4.0,5.0,80.0,1769800228.1604838,1769800292.0204804,2.0,3.0
nJQDUoUKyCZtYOrXBhCa1vVQM5F2,arraylist,completed,1.0,1769187177.4623413,1769187619.1104698,441.6481168270111,25.0,12.0,13.0,4.0,5.0,80.0,1769187543.342542,1769187618.983875,2.0,4.0
nJQDUoUKyCZtYOrXBhCa1vVQM5F2,recursion,completed,1.0,1769792359.4272165,1769792897.3085196,537.8812851905823,23.0,11.0,12.0,4.0,5.0,80.0,1769792871.0437589,1769792897.161504,2.0,3.0
nMcq9BcrQLShkt80j8BrTy4Lhdo2,arraylist,completed,1.0,1769190890.4472983,1769191313.9475658,423.5002598762512,18.0,9.0,9.0,3.0,5.0,60.0,1769191213.4689367,1769191313.8150094,2.33,2.5
nMcq9BcrQLShkt80j8BrTy4Lhdo2,recursion,completed,1.0,1769795659.0698528,1769796228.8209748,569.751113653183,19.0,9.0,10.0,3.0,5.0,60.0,1769796135.4850397,1769796228.684337,2.0,2.5
nmxmFOy32aTI2AylKBsQaAPIGVK2,arraylist,not_started,,,,,,,,,,,,,,
nmxmFOy32aTI2AylKBsQaAPIGVK2,recursion,not_started,,,,,,,,,,,,,,
nuTLU4inbkgo3DhEysbjqZcRwo32,arraylist,completed,3.0,1769187208.8368897,1769188370.8083737,1161.971472978592,46.0,23.0,23.0,3.0,5.0,60.0,1769188234.2744172,1769188370.535639,2.33,2.5
nuTLU4inbkgo3DhEysbjqZcRwo32,recursion,completed,3.0,1769792335.0327003,1769793367.2945306,1032.2618160247803,25.0,12.0,13.0,4.0,5.0,80.0,1769793298.72794,1769793365.5693338,2.0,3.0
p8WOtXcwwUUwME4kpYo3SpxqRd52,arraylist,completed,3.0,1769795668.0235314,1769796737.0127308,1068.989188194275,21.0,10.0,11.0,2.0,5.0,40.0,1769796685.4270012,1769796734.233132,2.5,2.33
p8WOtXcwwUUwME4kpYo3SpxqRd52,recursion,completed,3.0,1769798140.1021152,1769799123.4445705,983.3424470424652,5.0,2.0,3.0,4.0,5.0,80.0,1769799086.1527555,1769799123.2999828,2.0,3.0
r8Z55stG3Pe5HLEvIJVapLi9gMV2,arraylist,completed,1.0,1769194688.6602867,1769195289.322475,600.6621775627136,19.0,9.0,10.0,3.0,5.0,60.0,1769195235.0402353,1769195289.209612,2.33,2.5
r8Z55stG3Pe5HLEvIJVapLi9gMV2,recursion,completed,1.0,1769799515.0199594,1769800124.4707477,609.4507796764374,21.0,10.0,11.0,5.0,5.0,100.0,1769800089.044309,1769800124.3368952,2.2,0.0
rOzQPVNW9aRq2b3XRgT24mqzO6a2,arraylist,not_started,,,,,,,,,,,,,,
rOzQPVNW9aRq2b3XRgT24mqzO6a2,recursion,not_started,,,,,,,,,,,,,,
rahQ5wQyQNOynXJ7Xz4wBvbih5z1,arraylist,completed,1.0,1769190892.815763,1769191672.7983456,779.9825618267059,21.0,10.0,11.0,5.0,5.0,100.0,1769191578.8344457,1769191672.6572158,2.4,0.0
rahQ5wQyQNOynXJ7Xz4wBvbih5z1,recursion,completed,1.0,1769795682.3858562,1769796611.5425293,929.156661272049,41.0,20.0,21.0,5.0,5.0,100.0,1769796559.7443416,1769796611.4071453,2.2,0.0
sA4W1vv57hYuNsFgrO74TFQB9lt1,arraylist,completed,2.0,1769194620.7114751,1769195014.7492049,394.0377185344696,17.0,8.0,9.0,3.0,5.0,60.0,1769194962.8762245,1769195014.6215272,2.33,2.5
sA4W1vv57hYuNsFgrO74TFQB9lt1,recursion,completed,2.0,1769799493.4562619,1769800220.2256763,726.7694041728973,27.0,13.0,14.0,2.0,5.0,40.0,1769800157.3977005,1769800220.0823765,1.5,2.67
sBsPIGe4HWM4uX2Wh7ib88DPVdD3,arraylist,completed,2.0,1769187139.6024745,1769187625.2570434,485.65456199645996,15.0,7.0,8.0,5.0,5.0,100.0,1769187544.0382602,1769187625.1385603,2.4,0.0
sBsPIGe4HWM4uX2Wh7ib88DPVdD3,recursion,completed,2.0,1769792341.33289,1769792766.5533953,425.2204968929291,19.0,9.0,10.0,3.0,5.0,60.0,1769792721.2065175,1769792766.42844,2.0,2.5
sop6PXrgnVYTjAu8flbuErEY1AW2,arraylist,completed,2.0,1769191323.6506042,1769191726.4462342,402.7956163883209,23.0,11.0,12.0,3.0,5.0,60.0,1769191691.840643,1769191726.2779176,2.0,3.0
sop6PXrgnVYTjAu8flbuErEY1AW2,recursion,completed,2.0,1769795672.212505,1769796236.7479498,564.535434961319,23.0,11.0,12.0,5.0,5.0,100.0,1769796131.9901533,1769796236.596123,2.2,0.0
sqZI2SLCZ8XQ7CNYHmlyuMtRkF62,arraylist,completed,1.0,1769190895.2974646,1769191743.5697753,848.2722985744476,25.0,12.0,13.0,3.0,5.0,60.0,1769191670.6303465,1769191743.4352992,2.33,2.5
sqZI2SLCZ8XQ7CNYHmlyuMtRkF62,recursion,completed,1.0,1769795694.1502025,1769796355.850446,661.7002296447754,45.0,22.0,23.0,4.0,5.0,80.0,1769796333.9786282,1769796355.7183557,2.0,3.0
ufa3OoBKJzdMedjoMwdj65xW7Eo2,arraylist,completed,2.0,1769187477.0903192,1769187737.3160584,260.22572922706604,17.0,8.0,9.0,4.0,5.0,80.0,1769187689.5837858,1769187737.1885936,2.5,2.0
ufa3OoBKJzdMedjoMwdj65xW7Eo2,recursion,completed,2.0,1769792350.0757506,1769792868.7401404,518.6643788814545,21.0,10.0,11.0,5.0,5.0,100.0,1769792756.3030841,1769792868.6209803,2.2,0.0
vK1vk3qedUc6g4Nq0RhvvcbRJJR2,arraylist,completed,3.0,1769187440.3652976,1769188541.9934316,1101.6281251907349,23.0,11.0,12.0,2.0,5.0,40.0,1769188427.1312034,1769188541.8613694,2.5,2.33
vK1vk3qedUc6g4Nq0RhvvcbRJJR2,recursion,completed,3.0,1769792350.9481564,1769793367.942826,1016.9946534633636,29.0,14.0,15.0,5.0,5.0,100.0,1769793289.603026,1769793367.7309697,2.2,0.0
wSlcdOBLGygvUA7l2rhVJEn5RC52,arraylist,completed,2.0,1769795832.627843,1769796480.8137498,648.1858954429626,31.0,15.0,16.0,3.0,5.0,60.0,1769796442.5664358,1769796480.6778479,2.33,2.5
