user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,rapid_response_count,rapid_response_pct,has_both,avg_difficulty_correct,avg_difficulty_incorrect
c7KI5GHsSEdjcEm00XjghgtERo73,recursion,completed,2.0,1769799507.4089766,1769800072.332075,564.9230890274048,27.0,13.0,14.0,4.0,5.0,80.0,1769800009.0763245,1769800072.1941326,33.95329970579881,29.62406826019287,25.680173667487367,6.7640321254730225,95.81324028968811,1.0,0.07692307692307693,True,2.25,1.0
cva8aUm1erWRXr4LN8puvAxR9pH3,arraylist,completed,2.0,1769187116.2304509,1769187454.337101,338.1066405773163,15.0,7.0,8.0,4.0,5.0,80.0,1769187402.6642911,1769187454.2130797,26.493300437927246,22.531618356704712,16.027709578781995,11.897629261016846,58.74668097496033,0.0,0.0,False,2.25,2.0
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,arraylist,completed,3.0,1769194681.96473,1769195888.3908074,1206.4260692596436,19.0,9.0,10.0,1.0,5.0,20.0,1769195674.080594,1769195888.248181,93.11129426956177,62.032289028167725,94.29164968705169,16.18414831161499,313.1564359664917,0.0,0.0,True,4.0,1.75
dHxuuttlnKOQ7XlEe9BYqSTTrqi1,recursion,completed,3.0,1769799516.5967207,1769800567.359205,1050.7624723911283,37.0,18.0,19.0,2.0,5.0,40.0,1769800474.2981677,1769800567.005087,41.73739604155222,39.70219612121582,21.98956449401032,13.044436693191528,70.84554195404053,0.0,0.0,True,3.0,1.3333333333333333
fxKWPTaDCGXI2dz7mbLsAqHU0CU2,arraylist,completed,1.0,1769194808.0530884,1769195320.681234,512.6281352043152,17.0,8.0,9.0,3.0,5.0,60.0,1769195258.8010938,1769195320.5292363,35.66309401392937,30.665281653404236,22.80751024525451,9.40913200378418,73.35583519935608,1.0,0.125,False,2.3333333333333335,2.0
gBOUb9Di6GadfkDvQLnrX73otG03,arraylist,completed,2.0,1769194675.1718447,1769195323.91526,648.7434079647064,16.0,8.0,8.0,4.0,5.0,80.0,1769195255.3324249,1769195323.7770576,56.771258558545796,50.97930550575256,34.777821853883,14.631799936294556,105.90158677101135,0.0,0.0,True,2.25,2.0
gBOUb9Di6GadfkDvQLnrX73otG03,recursion,completed,2.0,1769799490.358428,1769800249.470853,759.1124167442322,21.0,10.0,11.0,3.0,5.0,60.0,1769800170.229461,1769800249.348673,54.84546971321106,44.46009087562561,44.872178776582,5.867102861404419,134.7468409538269,2.0,0.2,True,1.3333333333333333,3.0
hC4w6MdexjQl2Ph4EouutrCFRoG3,arraylist,completed,3.0,1769187446.2420638,1769188488.4664953,1042.2244198322296,19.0,9.0,10.0,3.0,5.0,60.0,1769188423.410436,1769188488.308063,93.24356047312419,106.25159740447998,63.25571071358029,17.576435089111328,215.80424046516418,0.0,0.0,True,2.0,2.5
hC4w6MdexjQl2Ph4EouutrCFRoG3,recursion,completed,3.0,1769792355.0016236,1769793390.2019434,1035.2003109455109,19.0,9.0,10.0,4.0,5.0,80.0,1769793351.7718048,1769793390.0785158,83.8790020412869,76.76156330108643,46.962713339525735,34.70146942138672,194.80035257339478,0.0,0.0,True,2.0,2.0
ho7VWbC1MxT1kafPK2XvjodzKik2,arraylist,completed,2.0,1769194628.9775343,1769195106.788058,477.81051659584045,17.0,8.0,9.0,3.0,5.0,60.0,1769195030.3139668,1769195106.6513698,38.226684629917145,31.817911982536316,19.350297628652736,21.616273880004883,74.994704246521,0.0,0.0,True,2.3333333333333335,2.0
ho7VWbC1MxT1kafPK2XvjodzKik2,recursion,completed,2.0,1769799488.3783896,1769800015.0350006,526.6566004753113,29.0,14.0,15.0,5.0,5.0,100.0,1769799993.5421247,1769800014.8975062,32.236314398901804,23.59354531764984,31.9200479772967,5.4362287521362305,110.36972403526306,2.0,0.14285714285714285,True,2.0,
jjrhR6j2KBM2ljWc6hI8G5TtoCD2,arraylist,completed,2.0,1769795775.6844687,1769796359.645642,583.9611632823944,25.0,12.0,13.0,3.0,5.0,60.0,1769796308.8068807,1769796359.507024,36.59960786501566,33.392486333847046,27.463877112689005,4.634836196899414,90.60461902618408,3.0,0.25,True,2.3333333333333335,2.0
